graphics_name,solution,topic,id,question,choice1,choice2,choice3,choice4
6wg4n,6wg4n,1405,,1,1,1,1,1
xxney,xxney,1405,,1,1,1,1,1
8db67,8db67,1405,,1,1,1,1,1
ffpxf,ffpxf,1405,,1,1,1,1,1
2mg87,2mg87,1405,,1,1,1,1,1
428b6,428b6,1405,,1,1,1,1,1
84w7x,84w7x,1405,,1,1,1,1,1
npxb7,npxb7,1405,,1,1,1,1,1
3n7mx,3n7mx,1405,,1,1,1,1,1
832f3,832f3,1405,,1,1,1,1,1
pnmxf,pnmxf,1405,,1,1,1,1,1
c2yn8,c2yn8,1405,,1,1,1,1,1
6bdn5,6bdn5,1405,,1,1,1,1,1
g3ex3,g3ex3,1405,,1,1,1,1,1
dc436,dc436,1405,,1,1,1,1,1
deneb,deneb,1405,,1,1,1,1,1
4cfw8,4cfw8,1405,,1,1,1,1,1
7p852,7p852,1405,,1,1,1,1,1
gm2c2,gm2c2,1405,,1,1,1,1,1
yd3m3,yd3m3,1405,,1,1,1,1,1
gymmn,gymmn,1405,,1,1,1,1,1
gc2wd,gc2wd,1405,,1,1,1,1,1
x76mn,x76mn,1405,,1,1,1,1,1
478nx,478nx,1405,,1,1,1,1,1
bxxfc,bxxfc,1405,,1,1,1,1,1
5bg8f,5bg8f,1405,,1,1,1,1,1
wnpec,wnpec,1405,,1,1,1,1,1
gfxcc,gfxcc,1405,,1,1,1,1,1
37d52,37d52,1405,,1,1,1,1,1
een23,een23,1405,,1,1,1,1,1
6m5eg,6m5eg,1405,,1,1,1,1,1
43xfe,43xfe,1405,,1,1,1,1,1
e6b7y,e6b7y,1405,,1,1,1,1,1
nxx25,nxx25,1405,,1,1,1,1,1
n3m6x,n3m6x,1405,,1,1,1,1,1
pg2yx,pg2yx,1405,,1,1,1,1,1
bpwd7,bpwd7,1405,,1,1,1,1,1
m457d,m457d,1405,,1,1,1,1,1
ccf2w,ccf2w,1405,,1,1,1,1,1
p4nm4,p4nm4,1405,,1,1,1,1,1
mmy5n,mmy5n,1405,,1,1,1,1,1
8e32m,8e32m,1405,,1,1,1,1,1
4n2yg,4n2yg,1405,,1,1,1,1,1
gnf85,gnf85,1405,,1,1,1,1,1
m2nf4,m2nf4,1405,,1,1,1,1,1
c7nn8,c7nn8,1405,,1,1,1,1,1
7d44m,7d44m,1405,,1,1,1,1,1
cwmny,cwmny,1405,,1,1,1,1,1
6fg8c,6fg8c,1405,,1,1,1,1,1
mcc2x,mcc2x,1405,,1,1,1,1,1
pdcp4,pdcp4,1405,,1,1,1,1,1
xdn65,xdn65,1405,,1,1,1,1,1
b35f6,b35f6,1405,,1,1,1,1,1
g7fmc,g7fmc,1405,,1,1,1,1,1
5yxgp,5yxgp,1405,,1,1,1,1,1
ndecc,ndecc,1405,,1,1,1,1,1
2pfpn,2pfpn,1405,,1,1,1,1,1
3p67n,3p67n,1405,,1,1,1,1,1
gcfgp,gcfgp,1405,,1,1,1,1,1
5np4m,5np4m,1405,,1,1,1,1,1
dd764,dd764,1405,,1,1,1,1,1
n6xc5,n6xc5,1405,,1,1,1,1,1
5nnff,5nnff,1405,,1,1,1,1,1
ng756,ng756,1405,,1,1,1,1,1
6bnnm,6bnnm,1405,,1,1,1,1,1
7g3nf,7g3nf,1405,,1,1,1,1,1
eng53,eng53,1405,,1,1,1,1,1
2nbcx,2nbcx,1405,,1,1,1,1,1
2w4y7,2w4y7,1405,,1,1,1,1,1
57wdp,57wdp,1405,,1,1,1,1,1
b685n,b685n,1405,,1,1,1,1,1
byfgn,byfgn,1405,,1,1,1,1,1
3ym7f,3ym7f,1405,,1,1,1,1,1
gxxpf,gxxpf,1405,,1,1,1,1,1
ewcf5,ewcf5,1405,,1,1,1,1,1
w6pxy,w6pxy,1405,,1,1,1,1,1
57gnx,57gnx,1405,,1,1,1,1,1
368y5,368y5,1405,,1,1,1,1,1
pwn5e,pwn5e,1405,,1,1,1,1,1
2p2y8,2p2y8,1405,,1,1,1,1,1
cdfen,cdfen,1405,,1,1,1,1,1
6mygb,6mygb,1405,,1,1,1,1,1
d7c5x,d7c5x,1405,,1,1,1,1,1
x362g,x362g,1405,,1,1,1,1,1
mmg38,mmg38,1405,,1,1,1,1,1
f83pn,f83pn,1405,,1,1,1,1,1
mfc35,mfc35,1405,,1,1,1,1,1
px2xp,px2xp,1405,,1,1,1,1,1
8g4yp,8g4yp,1405,,1,1,1,1,1
cm6yb,cm6yb,1405,,1,1,1,1,1
p2x7x,p2x7x,1405,,1,1,1,1,1
nm46n,nm46n,1405,,1,1,1,1,1
3xcgg,3xcgg,1405,,1,1,1,1,1
pxne8,pxne8,1405,,1,1,1,1,1
p8c24,p8c24,1405,,1,1,1,1,1
7fde7,7fde7,1405,,1,1,1,1,1
dmxp8,dmxp8,1405,,1,1,1,1,1
64b3p,64b3p,1405,,1,1,1,1,1
6f857,6f857,1405,,1,1,1,1,1
n7dyb,n7dyb,1405,,1,1,1,1,1
3eny7,3eny7,1405,,1,1,1,1,1
n5n8b,n5n8b,1405,,1,1,1,1,1
n5w5g,n5w5g,1405,,1,1,1,1,1
5g5e5,5g5e5,1405,,1,1,1,1,1
7cdge,7cdge,1405,,1,1,1,1,1
nmy2x,nmy2x,1405,,1,1,1,1,1
6f2yc,6f2yc,1405,,1,1,1,1,1
488de,488de,1405,,1,1,1,1,1
c4bgd,c4bgd,1405,,1,1,1,1,1
823p2,823p2,1405,,1,1,1,1,1
edwny,edwny,1405,,1,1,1,1,1
4fc36,4fc36,1405,,1,1,1,1,1
56c34,56c34,1405,,1,1,1,1,1
w4cnn,w4cnn,1405,,1,1,1,1,1
5n728,5n728,1405,,1,1,1,1,1
e4gd7,e4gd7,1405,,1,1,1,1,1
pg4bf,pg4bf,1405,,1,1,1,1,1
feyc8,feyc8,1405,,1,1,1,1,1
p57fn,p57fn,1405,,1,1,1,1,1
yfdn7,yfdn7,1405,,1,1,1,1,1
xymfn,xymfn,1405,,1,1,1,1,1
8n5p3,8n5p3,1405,,1,1,1,1,1
4ycex,4ycex,1405,,1,1,1,1,1
ppwyd,ppwyd,1405,,1,1,1,1,1
6n6gg,6n6gg,1405,,1,1,1,1,1
556wd,556wd,1405,,1,1,1,1,1
d4ppy,d4ppy,1405,,1,1,1,1,1
wm47f,wm47f,1405,,1,1,1,1,1
7dxbd,7dxbd,1405,,1,1,1,1,1
nfcb5,nfcb5,1405,,1,1,1,1,1
wbncw,wbncw,1405,,1,1,1,1,1
f7cey,f7cey,1405,,1,1,1,1,1
gxx2p,gxx2p,1405,,1,1,1,1,1
befbd,befbd,1405,,1,1,1,1,1
n8fp6,n8fp6,1405,,1,1,1,1,1
b5dn4,b5dn4,1405,,1,1,1,1,1
edg3p,edg3p,1405,,1,1,1,1,1
n5x2n,n5x2n,1405,,1,1,1,1,1
g2577,g2577,1405,,1,1,1,1,1
de7f8,de7f8,1405,,1,1,1,1,1
fcey3,fcey3,1405,,1,1,1,1,1
3n3cf,3n3cf,1405,,1,1,1,1,1
gpxng,gpxng,1405,,1,1,1,1,1
cpe63,cpe63,1405,,1,1,1,1,1
2en7g,2en7g,1405,,1,1,1,1,1
bf52c,bf52c,1405,,1,1,1,1,1
wf684,wf684,1405,,1,1,1,1,1
fcne6,fcne6,1405,,1,1,1,1,1
e76n4,e76n4,1405,,1,1,1,1,1
44c22,44c22,1405,,1,1,1,1,1
8ypdn,8ypdn,1405,,1,1,1,1,1
5xd2e,5xd2e,1405,,1,1,1,1,1
gy8xb,gy8xb,1405,,1,1,1,1,1
bm3p8,bm3p8,1405,,1,1,1,1,1
8b735,8b735,1405,,1,1,1,1,1
7dgc2,7dgc2,1405,,1,1,1,1,1
bc8nf,bc8nf,1405,,1,1,1,1,1
7f8b3,7f8b3,1405,,1,1,1,1,1
yyn57,yyn57,1405,,1,1,1,1,1
3ndxd,3ndxd,1405,,1,1,1,1,1
xcf88,xcf88,1405,,1,1,1,1,1
eppg3,eppg3,1405,,1,1,1,1,1
xyyyw,xyyyw,1405,,1,1,1,1,1
gdng3,gdng3,1405,,1,1,1,1,1
nf2n8,nf2n8,1405,,1,1,1,1,1
nfbg8,nfbg8,1405,,1,1,1,1,1
pn7pn,pn7pn,1405,,1,1,1,1,1
xyncc,xyncc,1405,,1,1,1,1,1
pe4xn,pe4xn,1405,,1,1,1,1,1
ddcdd,ddcdd,1405,,1,1,1,1,1
x74b2,x74b2,1405,,1,1,1,1,1
cx3wg,cx3wg,1405,,1,1,1,1,1
5mf7c,5mf7c,1405,,1,1,1,1,1
n5wbg,n5wbg,1405,,1,1,1,1,1
7w67m,7w67m,1405,,1,1,1,1,1
dfnx4,dfnx4,1405,,1,1,1,1,1
6c3p5,6c3p5,1405,,1,1,1,1,1
g8gnd,g8gnd,1405,,1,1,1,1,1
2cgyx,2cgyx,1405,,1,1,1,1,1
33b22,33b22,1405,,1,1,1,1,1
g55b4,g55b4,1405,,1,1,1,1,1
ccn2x,ccn2x,1405,,1,1,1,1,1
4d22m,4d22m,1405,,1,1,1,1,1
2g7nm,2g7nm,1405,,1,1,1,1,1
74853,74853,1405,,1,1,1,1,1
d3ycn,d3ycn,1405,,1,1,1,1,1
4exnn,4exnn,1405,,1,1,1,1,1
7bwm2,7bwm2,1405,,1,1,1,1,1
mmfm6,mmfm6,1405,,1,1,1,1,1
6e554,6e554,1405,,1,1,1,1,1
6e2dg,6e2dg,1405,,1,1,1,1,1
6dmx7,6dmx7,1405,,1,1,1,1,1
3dgmf,3dgmf,1405,,1,1,1,1,1
nny5e,nny5e,1405,,1,1,1,1,1
e8dxn,e8dxn,1405,,1,1,1,1,1
33ng4,33ng4,1405,,1,1,1,1,1
2mpnn,2mpnn,1405,,1,1,1,1,1
32dnn,32dnn,1405,,1,1,1,1,1
pw5nc,pw5nc,1405,,1,1,1,1,1
pyefb,pyefb,1405,,1,1,1,1,1
y4g3b,y4g3b,1405,,1,1,1,1,1
m6n4x,m6n4x,1405,,1,1,1,1,1
537nf,537nf,1405,,1,1,1,1,1
5p8fm,5p8fm,1405,,1,1,1,1,1
2356g,2356g,1405,,1,1,1,1,1
8n2pg,8n2pg,1405,,1,1,1,1,1
8684m,8684m,1405,,1,1,1,1,1
cnex4,cnex4,1405,,1,1,1,1,1
nfd8g,nfd8g,1405,,1,1,1,1,1
y32yy,y32yy,1405,,1,1,1,1,1
mw5p2,mw5p2,1405,,1,1,1,1,1
2n73f,2n73f,1405,,1,1,1,1,1
7m8px,7m8px,1405,,1,1,1,1,1
d66cn,d66cn,1405,,1,1,1,1,1
c7gb3,c7gb3,1405,,1,1,1,1,1
6p2ge,6p2ge,1405,,1,1,1,1,1
6g45w,6g45w,1405,,1,1,1,1,1
gwn53,gwn53,1405,,1,1,1,1,1
n265y,n265y,1405,,1,1,1,1,1
5mcy7,5mcy7,1405,,1,1,1,1,1
m8m4x,m8m4x,1405,,1,1,1,1,1
e25xg,e25xg,1405,,1,1,1,1,1
2enf4,2enf4,1405,,1,1,1,1,1
e46yw,e46yw,1405,,1,1,1,1,1
wb3ed,wb3ed,1405,,1,1,1,1,1
77wp4,77wp4,1405,,1,1,1,1,1
6bxwg,6bxwg,1405,,1,1,1,1,1
7gp47,7gp47,1405,,1,1,1,1,1
x7422,x7422,1405,,1,1,1,1,1
pgwnp,pgwnp,1405,,1,1,1,1,1
8bbm4,8bbm4,1405,,1,1,1,1,1
nb267,nb267,1405,,1,1,1,1,1
7yf62,7yf62,1405,,1,1,1,1,1
bd3b7,bd3b7,1405,,1,1,1,1,1
nf7bn,nf7bn,1405,,1,1,1,1,1
yxd7m,yxd7m,1405,,1,1,1,1,1
m4g8g,m4g8g,1405,,1,1,1,1,1
8gf7n,8gf7n,1405,,1,1,1,1,1
dbny3,dbny3,1405,,1,1,1,1,1
f753f,f753f,1405,,1,1,1,1,1
65m85,65m85,1405,,1,1,1,1,1
w7e6m,w7e6m,1405,,1,1,1,1,1
6ydyp,6ydyp,1405,,1,1,1,1,1
gy433,gy433,1405,,1,1,1,1,1
3nfdn,3nfdn,1405,,1,1,1,1,1
cd4eg,cd4eg,1405,,1,1,1,1,1
373gb,373gb,1405,,1,1,1,1,1
244e2,244e2,1405,,1,1,1,1,1
d2ycw,d2ycw,1405,,1,1,1,1,1
y7d75,y7d75,1405,,1,1,1,1,1
fyfbn,fyfbn,1405,,1,1,1,1,1
ddmyg,ddmyg,1405,,1,1,1,1,1
4nc37,4nc37,1405,,1,1,1,1,1
xcmbp,xcmbp,1405,,1,1,1,1,1
c43b4,c43b4,1405,,1,1,1,1,1
xdcn4,xdcn4,1405,,1,1,1,1,1
e8e5e,e8e5e,1405,,1,1,1,1,1
6ecbn,6ecbn,1405,,1,1,1,1,1
7dwx4,7dwx4,1405,,1,1,1,1,1
xf5g7,xf5g7,1405,,1,1,1,1,1
5mfff,5mfff,1405,,1,1,1,1,1
6xpme,6xpme,1405,,1,1,1,1,1
dw6mn,dw6mn,1405,,1,1,1,1,1
n3bm6,n3bm6,1405,,1,1,1,1,1
c4bny,c4bny,1405,,1,1,1,1,1
268g2,268g2,1405,,1,1,1,1,1
g3dy6,g3dy6,1405,,1,1,1,1,1
ndg2b,ndg2b,1405,,1,1,1,1,1
pbpgc,pbpgc,1405,,1,1,1,1,1
76n7p,76n7p,1405,,1,1,1,1,1
mmc5n,mmc5n,1405,,1,1,1,1,1
gy5bf,gy5bf,1405,,1,1,1,1,1
n5cm7,n5cm7,1405,,1,1,1,1,1
nbmx7,nbmx7,1405,,1,1,1,1,1
n7enn,n7enn,1405,,1,1,1,1,1
f22bn,f22bn,1405,,1,1,1,1,1
mbp2y,mbp2y,1405,,1,1,1,1,1
67dey,67dey,1405,,1,1,1,1,1
42dw4,42dw4,1405,,1,1,1,1,1
5npdn,5npdn,1405,,1,1,1,1,1
w46ep,w46ep,1405,,1,1,1,1,1
fp5wn,fp5wn,1405,,1,1,1,1,1
32cnn,32cnn,1405,,1,1,1,1,1
c3n8x,c3n8x,1405,,1,1,1,1,1
n6f4b,n6f4b,1405,,1,1,1,1,1
m8gmx,m8gmx,1405,,1,1,1,1,1
n7ebx,n7ebx,1405,,1,1,1,1,1
fpw76,fpw76,1405,,1,1,1,1,1
3x5fm,3x5fm,1405,,1,1,1,1,1
w4x2m,w4x2m,1405,,1,1,1,1,1
4m2w5,4m2w5,1405,,1,1,1,1,1
pxdwp,pxdwp,1405,,1,1,1,1,1
65ebm,65ebm,1405,,1,1,1,1,1
6pwcn,6pwcn,1405,,1,1,1,1,1
e6m6p,e6m6p,1405,,1,1,1,1,1
f858x,f858x,1405,,1,1,1,1,1
d75b5,d75b5,1405,,1,1,1,1,1
x8xnp,x8xnp,1405,,1,1,1,1,1
yg5bb,yg5bb,1405,,1,1,1,1,1
3nnpw,3nnpw,1405,,1,1,1,1,1
ne325,ne325,1405,,1,1,1,1,1
c3572,c3572,1405,,1,1,1,1,1
nfg23,nfg23,1405,,1,1,1,1,1
6n5fd,6n5fd,1405,,1,1,1,1,1
2bg48,2bg48,1405,,1,1,1,1,1
5bgp2,5bgp2,1405,,1,1,1,1,1
3ye2e,3ye2e,1405,,1,1,1,1,1
7dyww,7dyww,1405,,1,1,1,1,1
24f6w,24f6w,1405,,1,1,1,1,1
43mn5,43mn5,1405,,1,1,1,1,1
n8pfe,n8pfe,1405,,1,1,1,1,1
dnmd8,dnmd8,1405,,1,1,1,1,1
m5meg,m5meg,1405,,1,1,1,1,1
6ng6n,6ng6n,1405,,1,1,1,1,1
x277e,x277e,1405,,1,1,1,1,1
f5cm2,f5cm2,1405,,1,1,1,1,1
8bbw8,8bbw8,1405,,1,1,1,1,1
7pcd7,7pcd7,1405,,1,1,1,1,1
x347n,x347n,1405,,1,1,1,1,1
gecmf,gecmf,1405,,1,1,1,1,1
4c8n8,4c8n8,1405,,1,1,1,1,1
bp2d4,bp2d4,1405,,1,1,1,1,1
38n57,38n57,1405,,1,1,1,1,1
nn6mg,nn6mg,1405,,1,1,1,1,1
8cccc,8cccc,1405,,1,1,1,1,1
47m2b,47m2b,1405,,1,1,1,1,1
dyp7n,dyp7n,1405,,1,1,1,1,1
72m6f,72m6f,1405,,1,1,1,1,1
664dn,664dn,1405,,1,1,1,1,1
n7ff2,n7ff2,1405,,1,1,1,1,1
pgg3n,pgg3n,1405,,1,1,1,1,1
mb4en,mb4en,1405,,1,1,1,1,1
bmxpe,bmxpe,1405,,1,1,1,1,1
ddpyb,ddpyb,1405,,1,1,1,1,1
c5xne,c5xne,1405,,1,1,1,1,1
43p5d,43p5d,1405,,1,1,1,1,1
gewfy,gewfy,1405,,1,1,1,1,1
46mbm,46mbm,1405,,1,1,1,1,1
x775w,x775w,1405,,1,1,1,1,1
d7nn3,d7nn3,1405,,1,1,1,1,1
f4fn2,f4fn2,1405,,1,1,1,1,1
6c3n6,6c3n6,1405,,1,1,1,1,1
2fxgd,2fxgd,1405,,1,1,1,1,1
wxcn8,wxcn8,1405,,1,1,1,1,1
8xef7,8xef7,1405,,1,1,1,1,1
ncww7,ncww7,1405,,1,1,1,1,1
pgm2e,pgm2e,1405,,1,1,1,1,1
x7746,x7746,1405,,1,1,1,1,1
3b4we,3b4we,1405,,1,1,1,1,1
ncw4g,ncw4g,1405,,1,1,1,1,1
dce8y,dce8y,1405,,1,1,1,1,1
3n2b4,3n2b4,1405,,1,1,1,1,1
8n56m,8n56m,1405,,1,1,1,1,1
53wp3,53wp3,1405,,1,1,1,1,1
6fgdw,6fgdw,1405,,1,1,1,1,1
23n88,23n88,1405,,1,1,1,1,1
fncnb,fncnb,1405,,1,1,1,1,1
pp87n,pp87n,1405,,1,1,1,1,1
y3c58,y3c58,1405,,1,1,1,1,1
nybcx,nybcx,1405,,1,1,1,1,1
x5nyn,x5nyn,1405,,1,1,1,1,1
ng46m,ng46m,1405,,1,1,1,1,1
mwdf6,mwdf6,1405,,1,1,1,1,1
nn4wx,nn4wx,1405,,1,1,1,1,1
nwg2m,nwg2m,1405,,1,1,1,1,1
7634y,7634y,1405,,1,1,1,1,1
p6mn8,p6mn8,1405,,1,1,1,1,1
d2nbn,d2nbn,1405,,1,1,1,1,1
c8n8c,c8n8c,1405,,1,1,1,1,1
p2dw7,p2dw7,1405,,1,1,1,1,1
f8f8g,f8f8g,1405,,1,1,1,1,1
c6745,c6745,1405,,1,1,1,1,1
gbxyy,gbxyy,1405,,1,1,1,1,1
3ygde,3ygde,1405,,1,1,1,1,1
33f7m,33f7m,1405,,1,1,1,1,1
efb3f,efb3f,1405,,1,1,1,1,1
658xe,658xe,1405,,1,1,1,1,1
ycmcw,ycmcw,1405,,1,1,1,1,1
b4d7c,b4d7c,1405,,1,1,1,1,1
mpmy5,mpmy5,1405,,1,1,1,1,1
gnbde,gnbde,1405,,1,1,1,1,1
d3c8y,d3c8y,1405,,1,1,1,1,1
ydd3g,ydd3g,1405,,1,1,1,1,1
7b4bm,7b4bm,1405,,1,1,1,1,1
3ebpw,3ebpw,1405,,1,1,1,1,1
y48c3,y48c3,1405,,1,1,1,1,1
fp3wy,fp3wy,1405,,1,1,1,1,1
cd6p4,cd6p4,1405,,1,1,1,1,1
g247w,g247w,1405,,1,1,1,1,1
wyc25,wyc25,1405,,1,1,1,1,1
55w5c,55w5c,1405,,1,1,1,1,1
4egem,4egem,1405,,1,1,1,1,1
fdpgd,fdpgd,1405,,1,1,1,1,1
6b46g,6b46g,1405,,1,1,1,1,1
xwx7d,xwx7d,1405,,1,1,1,1,1
n4wwn,n4wwn,1405,,1,1,1,1,1
gf2g4,gf2g4,1405,,1,1,1,1,1
25m6p,25m6p,1405,,1,1,1,1,1
5f3gf,5f3gf,1405,,1,1,1,1,1
f85y3,f85y3,1405,,1,1,1,1,1
ngn26,ngn26,1405,,1,1,1,1,1
fp762,fp762,1405,,1,1,1,1,1
5x5nx,5x5nx,1405,,1,1,1,1,1
cfc2y,cfc2y,1405,,1,1,1,1,1
6end3,6end3,1405,,1,1,1,1,1
5mnpd,5mnpd,1405,,1,1,1,1,1
8np22,8np22,1405,,1,1,1,1,1
e2mg2,e2mg2,1405,,1,1,1,1,1
33n73,33n73,1405,,1,1,1,1,1
8npd5,8npd5,1405,,1,1,1,1,1
8npe3,8npe3,1405,,1,1,1,1,1
pwebm,pwebm,1405,,1,1,1,1,1
f228n,f228n,1405,,1,1,1,1,1
44ype,44ype,1405,,1,1,1,1,1
bcwnn,bcwnn,1405,,1,1,1,1,1
y53c2,y53c2,1405,,1,1,1,1,1
gp22x,gp22x,1405,,1,1,1,1,1
ee8fg,ee8fg,1405,,1,1,1,1,1
p5nce,p5nce,1405,,1,1,1,1,1
8c2wy,8c2wy,1405,,1,1,1,1,1
w8bnx,w8bnx,1405,,1,1,1,1,1
wfy5m,wfy5m,1405,,1,1,1,1,1
85dxn,85dxn,1405,,1,1,1,1,1
p7fyp,p7fyp,1405,,1,1,1,1,1
3d7bd,3d7bd,1405,,1,1,1,1,1
b4y5x,b4y5x,1405,,1,1,1,1,1
xe6eb,xe6eb,1405,,1,1,1,1,1
x7547,x7547,1405,,1,1,1,1,1
24pew,24pew,1405,,1,1,1,1,1
cdf77,cdf77,1405,,1,1,1,1,1
ddcne,ddcne,1405,,1,1,1,1,1
dnxdp,dnxdp,1405,,1,1,1,1,1
fw3b2,fw3b2,1405,,1,1,1,1,1
nw5b2,nw5b2,1405,,1,1,1,1,1
4743p,4743p,1405,,1,1,1,1,1
3fbxd,3fbxd,1405,,1,1,1,1,1
by5y3,by5y3,1405,,1,1,1,1,1
cfn53,cfn53,1405,,1,1,1,1,1
nbwpn,nbwpn,1405,,1,1,1,1,1
m75bf,m75bf,1405,,1,1,1,1,1
b43nw,b43nw,1405,,1,1,1,1,1
6xen4,6xen4,1405,,1,1,1,1,1
pnnwy,pnnwy,1405,,1,1,1,1,1
f2m8n,f2m8n,1405,,1,1,1,1,1
243mm,243mm,1405,,1,1,1,1,1
b5pnn,b5pnn,1405,,1,1,1,1,1
574d7,574d7,1405,,1,1,1,1,1
4433m,4433m,1405,,1,1,1,1,1
nxcmn,nxcmn,1405,,1,1,1,1,1
nxc83,nxc83,1405,,1,1,1,1,1
mdyp7,mdyp7,1405,,1,1,1,1,1
6mege,6mege,1405,,1,1,1,1,1
3x325,3x325,1405,,1,1,1,1,1
pdw38,pdw38,1405,,1,1,1,1,1
87d4c,87d4c,1405,,1,1,1,1,1
675p3,675p3,1405,,1,1,1,1,1
5pm6b,5pm6b,1405,,1,1,1,1,1
m5ym2,m5ym2,1405,,1,1,1,1,1
6wb76,6wb76,1405,,1,1,1,1,1
f6ww8,f6ww8,1405,,1,1,1,1,1
y4ec2,y4ec2,1405,,1,1,1,1,1
nmw46,nmw46,1405,,1,1,1,1,1
78eec,78eec,1405,,1,1,1,1,1
5x7x5,5x7x5,1405,,1,1,1,1,1
8d2nd,8d2nd,1405,,1,1,1,1,1
men4f,men4f,1405,,1,1,1,1,1
b26nd,b26nd,1405,,1,1,1,1,1
82fx2,82fx2,1405,,1,1,1,1,1
m2576,m2576,1405,,1,1,1,1,1
wnmyn,wnmyn,1405,,1,1,1,1,1
5nggg,5nggg,1405,,1,1,1,1,1
f5e5e,f5e5e,1405,,1,1,1,1,1
fcmem,fcmem,1405,,1,1,1,1,1
mfb3x,mfb3x,1405,,1,1,1,1,1
3g2w6,3g2w6,1405,,1,1,1,1,1
226md,226md,1405,,1,1,1,1,1
ncyx8,ncyx8,1405,,1,1,1,1,1
y2436,y2436,1405,,1,1,1,1,1
7xcyd,7xcyd,1405,,1,1,1,1,1
bgem5,bgem5,1405,,1,1,1,1,1
e2d66,e2d66,1405,,1,1,1,1,1
5wddw,5wddw,1405,,1,1,1,1,1
be6np,be6np,1405,,1,1,1,1,1
76y6f,76y6f,1405,,1,1,1,1,1
gwnm6,gwnm6,1405,,1,1,1,1,1
exycn,exycn,1405,,1,1,1,1,1
6fn84,6fn84,1405,,1,1,1,1,1
4gycb,4gycb,1405,,1,1,1,1,1
xxbm5,xxbm5,1405,,1,1,1,1,1
cwdnx,cwdnx,1405,,1,1,1,1,1
8d4wm,8d4wm,1405,,1,1,1,1,1
36nx4,36nx4,1405,,1,1,1,1,1
5bb66,5bb66,1405,,1,1,1,1,1
4b2pw,4b2pw,1405,,1,1,1,1,1
5dxnm,5dxnm,1405,,1,1,1,1,1
mg5nn,mg5nn,1405,,1,1,1,1,1
42nxy,42nxy,1405,,1,1,1,1,1
gm7n8,gm7n8,1405,,1,1,1,1,1
76353,76353,1405,,1,1,1,1,1
23mdg,23mdg,1405,,1,1,1,1,1
g842c,g842c,1405,,1,1,1,1,1
fwxdp,fwxdp,1405,,1,1,1,1,1
